Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME
4,8.734,8.734,3,8.630,8.630,2,8.214,8.214,1,8.149,8.149,5,8.934,8.934
3,10.098,18.832,2,10.102,18.731,5,10.993,19.207,1,10.304,18.452,4,10.085,19.019
3,9.922,28.753,2,9.926,28.657,5,9.758,28.964,1,10.071,28.522,4,9.833,28.851
3,10.021,38.773,1,9.956,38.612,5,9.995,38.958,2,10.198,38.720,4,9.999,38.850
3,10.239,49.012,1,10.263,48.875,5,10.406,49.364,4,10.329,49.048,2,10.108,48.958
4,10.471,59.482,1,10.251,59.125,5,10.253,59.617,2,10.148,59.196,3,10.352,59.309
5,11.264,1:10.746,2,10.602,1:09.727,4,10.414,1:10.030,1,10.452,1:09.648,3,10.495,1:09.804
3,9.342,1:20.087,1,10.095,1:19.821,5,10.631,1:20.660,2,10.247,1:19.894,4,10.364,1:20.167
2,9.969,1:30.056,3,10.252,1:30.072,5,9.951,1:30.611,1,10.144,1:30.038,4,10.106,1:30.272
2,10.295,1:40.350,3,10.282,1:40.354,5,9.900,1:40.510,1,10.223,1:40.260,4,10.108,1:40.380
1,9.330,1:49.679,3,9.501,1:49.855,2,9.343,1:49.853,5,9.881,1:50.141,4,9.514,1:49.894
3,9.388,1:59.067,2,8.917,1:58.772,1,8.864,1:58.717,5,9.677,1:59.817,4,9.616,1:59.509
1,8.587,2:07.653,2,9.183,2:07.954,3,9.325,2:08.042,5,9.873,2:09.690,4,10.015,2:09.523
3,10.21,2:17.860,2,8.86,2:16.811,1,8.60,2:16.634,4,9.54,2:19.222,5,9.79,2:19.311
