Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME
2,13.070,13.070,3,13.153,13.153,4,13.413,13.413,1,12.918,12.918
3,10.218,23.287,2,10.003,23.156,4,9.983,23.396,1,10.061,22.978
3,9.468,32.755,2,9.572,32.727,4,9.792,33.187,1,9.560,32.538
4,9.895,42.650,2,9.780,42.507,3,9.444,42.631,1,9.736,42.273
2,9.483,52.132,3,9.635,52.142,4,9.795,52.425,1,9.578,51.851
3,9.442,1:01.574,2,9.311,1:01.452,4,9.506,1:01.931,1,9.164,1:01.015
3,9.358,1:10.931,1,9.130,1:10.582,4,9.582,1:11.513,2,9.753,1:10.768
2,9.189,1:20.120,1,9.497,1:20.079,4,10.107,1:21.620,3,9.605,1:20.373
2,9.68,1:29.800,1,9.58,1:29.654,4,10.56,1:32.179,3,10.06,1:30.432
