CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME
3,13.86,13.86,1,13.66,13.66,4,13.87,13.87,2,13.76,13.76
1,9.66,23.52,2,10.06,23.72,4,10.07,23.94,3,10.07,23.83
2,9.85,33.37,1,9.64,33.36,4,9.72,33.66,3,9.66,33.49
3,9.41,42.78,1,9.21,42.57,4,9.19,42.85,2,9.16,42.65
3,9.05,51.83,1,8.94,51.51,4,9.12,51.97,2,8.96,51.61
3,8.92,1:00.75,1,8.80,1:00.31,4,8.79,1:00.76,2,8.79,1:00.40
4,9.04,1:09.79,1,8.76,1:09.07,3,8.87,1:09.63,2,8.88,1:09.28
4,9.10,1:18.89,1,8.91,1:17.98,3,8.97,1:18.60,2,9.21,1:18.49
4,9.29,1:28.172,1,9.60,1:27.572,2,9.22,1:27.812,3,9.63,1:28.115
