Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Gabrielle WILLIAMSON-DERRAUGH POSITION,Gabrielle WILLIAMSON-DERRAUGH LAP TIME,Gabrielle WILLIAMSON-DERRAUGH ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
4,9.59,9.59,5,9.75,9.75,2,9.30,9.30,1,9.13,9.13,3,9.42,9.42
4,13.86,23.45,5,13.85,23.60,2,13.86,23.16,1,13.94,23.07,3,13.87,23.29
5,13.17,36.62,4,13.00,36.60,1,13.15,36.31,2,13.27,36.34,3,13.19,36.48
4,11.49,48.11,1,10.70,47.30,2,11.22,47.53,3,11.19,47.53,5,19.51,55.99
4,10.21,58.32,1,10.45,57.75,3,10.40,57.93,2,10.30,57.83,5,17.79,1:13.78
4,10.81,1:09.13,1,11.08,1:08.83,3,11.05,1:08.98,2,11.07,1:08.90,5,11.49,1:25.27
2,10.90,1:20.03,1,11.11,1:19.94,4,11.18,1:20.16,3,11.14,1:20.04,5,10.95,1:36.22
1,9.86,1:29.89,2,10.11,1:30.05,4,10.07,1:30.23,3,10.09,1:30.13,5,11.66,1:47.88
1,9.97,1:39.86,4,19.91,1:49.96,3,9.82,1:40.05,2,9.82,1:39.95,5,12.45,2:00.33
1,9.91,1:49.77,4,12.22,2:02.18,3,9.98,1:50.03,2,9.97,1:49.92,5,11.53,2:11.86
1,9.78,1:59.55,4,10.74,2:12.92,3,9.73,1:59.76,2,9.75,1:59.67,5,12.37,2:24.23
1,9.61,2:09.16,4,10.55,2:23.47,3,9.59,2:09.35,2,9.57,2:09.24,5,12.69,2:36.92
1,9.62,2:18.78,4,11.09,2:34.56,3,9.58,2:18.93,2,9.64,2:18.88,5,13.18,2:50.10
1,9.74,2:28.513,4,12.90,2:47.451,2,9.69,2:28.617,3,9.86,2:28.734,5,13.49,3:03.585
