THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,DAUDET Gwendoline POSITION,DAUDET Gwendoline LAP TIME,DAUDET Gwendoline ELAPSED TIME
6,11.06,11.06,4,10.89,10.89,1,10.53,10.53,3,10.86,10.86,2,10.72,10.72,5,10.98,10.98,7,11.07,11.07
7,16.64,27.70,5,16.48,27.37,1,16.30,26.83,4,16.39,27.25,2,16.27,26.99,6,16.56,27.54,3,16.05,27.12
7,15.47,43.17,5,15.44,42.81,1,15.42,42.25,4,15.40,42.65,2,15.39,42.38,6,15.46,43.00,3,15.39,42.51
7,14.70,57.87,5,14.74,57.55,1,14.87,57.12,3,14.70,57.35,2,14.84,57.22,6,14.71,57.71,4,14.92,57.43
7,13.34,1:11.21,5,13.33,1:10.88,1,13.45,1:10.57,3,13.45,1:10.80,2,13.43,1:10.65,4,13.12,1:10.83,6,13.48,1:10.91
7,10.74,1:21.95,4,10.83,1:21.71,1,10.88,1:21.45,6,11.05,1:21.85,2,10.86,1:21.51,3,10.78,1:21.61,5,10.85,1:21.76
7,10.35,1:32.30,4,10.26,1:31.97,1,10.28,1:31.73,6,10.34,1:32.19,2,10.31,1:31.82,3,10.22,1:31.83,5,10.30,1:32.06
7,9.72,1:42.02,4,9.71,1:41.68,2,9.70,1:41.43,6,9.73,1:41.92,3,9.77,1:41.59,1,9.46,1:41.29,5,9.70,1:41.76
6,9.40,1:51.42,3,9.48,1:51.16,2,9.65,1:51.08,7,9.60,1:51.52,4,9.64,1:51.23,1,9.71,1:51.00,5,9.51,1:51.27
6,9.51,2:00.93,1,9.29,2:00.45,3,9.58,2:00.66,7,9.60,2:01.12,5,9.62,2:00.85,2,9.60,2:00.60,4,9.57,2:00.84
4,9.63,2:10.56,1,9.60,2:10.05,3,9.69,2:10.35,6,9.70,2:10.82,7,10.00,2:10.85,2,9.51,2:10.11,5,9.89,2:10.73
4,9.66,2:20.22,1,9.91,2:19.96,3,9.77,2:20.12,5,10.27,2:21.09,7,10.38,2:21.23,2,9.94,2:20.05,5,10.36,2:21.09
1,10.22,2:30.44,4,10.60,2:30.56,3,10.41,2:30.53,5,10.69,2:31.78,6,10.80,2:32.03,2,10.47,2:30.52,7,11.08,2:32.17
2,,2:40.905,4,11.17,2:41.707,1,10.33,2:40.854,5,10.97,2:42.736,6,11.20,2:43.214,2,,2:40.905,7,11.37,2:43.519
