Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,KIM Hae Bin POSITION,KIM Hae Bin LAP TIME,KIM Hae Bin ELAPSED TIME
2,7.47,7.47,4,7.76,7.76,3,7.60,7.60,1,7.22,7.22,5,8.43,8.43
2,9.51,16.98,4,9.33,17.09,3,9.40,17.00,1,9.28,16.50,5,9.91,18.34
4,9.32,26.30,3,8.98,26.07,2,8.88,25.88,1,8.89,25.39,5,9.22,27.56
4,9.28,35.58,3,9.10,35.17,2,8.80,34.68,1,9.05,34.44,5,9.45,37.01
4,9.26,44.84,3,9.30,44.47,2,9.04,43.72,1,9.25,43.69,5,9.78,46.79
