CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Adam CALLISTER POSITION,Adam CALLISTER LAP TIME,Adam CALLISTER ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,CHU Sidney K POSITION,CHU Sidney K LAP TIME,CHU Sidney K ELAPSED TIME
3,8.74,8.74,6,9.20,9.20,4,8.87,8.87,2,8.66,8.66,5,9.04,9.04,1,8.57,8.57
1,10.93,19.67,6,10.77,19.97,3,10.91,19.78,5,11.20,19.86,1,10.63,19.67,3,11.21,19.78
2,10.19,29.86,6,10.27,30.24,3,10.20,29.98,5,10.26,30.12,1,10.13,29.80,4,10.32,30.10
3,10.15,40.01,4,9.92,40.16,5,10.22,40.20,1,9.86,39.98,1,10.18,39.98,6,10.27,40.37
3,9.66,49.67,2,9.40,49.56,4,9.54,49.74,1,9.56,49.54,5,9.85,49.83,6,9.58,49.95
3,9.48,59.15,1,9.47,59.03,4,9.52,59.26,2,9.50,59.04,5,9.57,59.40,6,9.58,59.53
2,9.42,1:08.57,1,9.45,1:08.48,3,9.44,1:08.70,3,9.66,1:08.70,5,9.49,1:08.89,6,9.52,1:09.05
2,9.57,1:18.14,1,9.58,1:18.06,3,9.52,1:18.22,5,9.79,1:18.49,4,9.46,1:18.35,6,9.57,1:18.62
2,9.60,1:27.74,1,9.56,1:27.62,3,9.61,1:27.83,5,9.56,1:28.05,4,9.60,1:27.95,6,9.61,1:28.23
2,9.49,1:37.23,1,9.54,1:37.16,3,9.49,1:37.32,5,9.42,1:37.47,4,9.50,1:37.45,6,9.55,1:37.78
3,9.35,1:46.58,1,9.35,1:46.51,2,9.25,1:46.57,5,9.77,1:47.24,4,9.55,1:47.00,6,9.82,1:47.60
3,9.16,1:55.74,2,9.18,1:55.69,1,8.99,1:55.56,5,9.87,1:57.11,4,9.70,1:56.70,6,10.15,1:57.75
3,9.22,2:04.96,2,9.02,2:04.71,1,9.06,2:04.62,5,10.27,2:07.38,4,10.08,2:06.78,6,10.53,2:08.28
3,9.25,2:14.21,2,9.35,2:14.06,1,9.33,2:13.95,5,10.55,2:17.930,4,10.65,2:17.436,6,10.82,2:19.102
