DUBROVA Uliana POSITION,DUBROVA Uliana LAP TIME,DUBROVA Uliana ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
5,8.32,8.32,1,7.45,7.45,2,7.53,7.53,2,7.53,7.53,4,7.66,7.66
4,10.31,18.63,1,9.49,16.94,3,9.72,17.25,5,24.45,31.98,2,9.48,17.14
3,9.77,28.40,1,9.16,26.10,4,27.18,44.43,5,14.30,46.28,2,8.97,26.11
3,10.07,38.47,2,9.36,35.46,5,21.04,1:05.47,4,11.81,58.09,1,9.22,35.33
3,10.35,48.82,2,9.46,44.92,5,15.20,1:20.67,4,11.35,1:09.44,1,9.46,44.79
