Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
3,7.242,7.242,1,7.003,7.003,2,7.157,7.157,4,7.353,7.353
4,9.499,16.741,1,8.982,15.985,2,9.392,16.549,3,9.290,16.643
3,8.953,25.693,1,8.684,24.669,4,9.263,25.812,2,8.831,25.474
3,9.061,34.754,1,8.768,33.436,4,9.381,35.193,2,8.967,34.441
2,9.340,44.094,0,,,3,10.027,45.220,1,9.411,43.852
