Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME
1,12.42,12.42,2,12.51,12.51,3,12.58,12.58,4,12.63,12.63
2,9.68,22.10,1,9.52,22.03,3,9.61,22.19,4,9.67,22.30
1,9.35,31.45,2,9.55,31.58,3,9.47,31.66,4,9.37,31.67
1,9.18,40.63,2,9.15,40.73,3,9.18,40.84,4,9.28,40.95
1,9.18,49.81,2,9.17,49.90,3,9.18,50.02,4,9.17,50.12
1,9.07,58.88,2,9.01,58.91,3,9.06,59.08,4,9.07,59.19
2,8.87,1:07.75,1,8.79,1:07.70,3,8.77,1:07.85,4,8.76,1:07.95
3,9.26,1:17.01,4,9.34,1:17.04,1,8.85,1:16.70,2,8.84,1:16.79
0,,PEN,3,9.42,1:26.453,1,8.96,1:25.658,2,9.00,1:25.789
