J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,12.09,12.09,5,12.55,12.55,4,12.43,12.43,2,12.19,12.19,3,12.29,12.29
1,9.45,21.54,5,9.38,21.93,4,9.38,21.81,2,9.44,21.63,3,9.43,21.72
1,9.21,30.75,5,9.21,31.14,4,9.22,31.03,2,9.19,30.82,3,9.21,30.93
1,9.12,39.87,5,9.19,40.33,4,9.18,40.21,2,9.20,40.02,3,9.21,40.14
1,9.10,48.97,5,9.07,49.40,4,9.06,49.27,2,9.05,49.07,3,9.04,49.18
1,8.98,57.95,5,8.99,58.39,4,8.97,58.24,2,8.89,57.96,3,8.96,58.14
1,8.84,1:06.79,5,8.99,1:07.38,4,8.81,1:07.05,2,8.84,1:06.80,3,8.82,1:06.96
1,8.88,1:15.67,5,9.46,1:16.84,3,8.86,1:15.91,2,8.90,1:15.70,4,9.33,1:16.29
2,9.16,1:24.83,5,9.93,1:26.744,3,9.04,1:24.933,1,9.04,1:24.74,4,9.66,1:25.931
