Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
1,16.46,16.46,3,16.69,16.69,4,16.92,16.92,2,16.53,
1,11.73,28.19,3,11.71,28.40,4,11.68,28.60,2,11.84,
2,11.28,39.47,1,10.98,39.38,4,11.14,39.74,2,11.10,
4,10.19,49.66,3,10.11,49.49,2,9.74,49.48,1,9.90,
4,9.34,59.00,3,9.41,58.90,1,9.26,58.74,2,9.45,
3,9.36,1:08.36,4,9.67,1:08.57,1,9.37,1:08.11,2,9.42,
2,9.32,1:17.68,4,9.55,1:18.12,1,9.48,1:17.59,3,9.45,
3,9.78,1:27.46,4,9.61,1:27.73,1,9.34,1:26.93,2,9.57,
3,9.44,1:36.90,4,9.91,1:37.64,1,9.47,1:36.40,2,9.55,
