Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME
1,13.508,13.508,3,13.771,13.771,2,13.624,13.624,4,13.956,13.956
1,10.083,23.591,4,10.173,23.944,2,10.094,23.717,3,9.972,23.927
1,9.553,33.143,3,9.417,33.361,2,9.459,33.176,4,9.708,33.634
1,9.520,42.663,3,9.361,42.721,2,9.519,42.695,4,9.345,42.979
2,10.422,53.084,4,26.543,1:09.264,3,10.619,53.313,1,10.006,52.984
2,10.010,1:03.094,4,19.094,1:28.357,3,9.937,1:03.249,1,10.022,1:03.006
1,9.723,1:12.816,4,13.734,1:42.091,3,9.778,1:13.027,2,9.819,1:12.824
2,9.985,1:22.801,4,12.924,1:55.015,3,9.873,1:22.900,1,9.795,1:22.619
0,,DQ,3,12.87,2:07.882,2,9.83,1:32.728,1,10.05,1:32.669
