Yuko KOYA POSITION,Yuko KOYA LAP TIME,Yuko KOYA ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,HUANG Yu-Ting POSITION,HUANG Yu-Ting LAP TIME,HUANG Yu-Ting ELAPSED TIME,Kristen BIONDO POSITION,Kristen BIONDO LAP TIME,Kristen BIONDO ELAPSED TIME
2,9.906,9.906,4,10.067,10.067,5,10.183,10.183,3,10.024,10.024,1,9.772,9.772
2,14.087,23.992,4,14.025,24.092,5,14.101,24.283,3,14.052,24.076,1,14.033,23.805
3,12.489,36.481,1,12.236,36.328,4,12.498,36.780,5,12.874,36.949,2,12.582,36.387
3,11.178,47.658,2,11.150,47.477,4,11.133,47.913,5,11.256,48.205,1,11.051,47.438
3,11.423,59.081,2,11.452,58.928,4,11.209,59.121,5,10.926,59.130,1,11.401,58.838
2,11.882,1:10.963,3,12.112,1:11.040,4,12.071,1:11.192,5,12.069,1:11.199,1,11.889,1:10.727
3,12.634,1:23.596,2,12.539,1:23.579,5,12.595,1:23.787,4,12.468,1:23.666,1,12.517,1:23.244
2,12.360,1:35.956,3,12.506,1:36.085,4,12.648,1:36.435,5,12.780,1:36.445,1,12.661,1:35.905
1,10.881,1:46.836,3,11.023,1:47.107,4,11.099,1:47.533,5,11.217,1:47.661,2,11.077,1:46.982
1,10.790,1:57.626,3,10.712,1:57.819,4,10.420,1:57.953,5,10.548,1:58.208,2,10.746,1:57.727
2,10.493,2:08.118,4,10.581,2:08.399,1,10.059,2:08.012,5,10.616,2:08.824,3,10.511,2:08.238
2,9.924,2:18.042,4,10.246,2:18.645,1,9.277,2:17.288,5,10.484,2:19.308,3,10.233,2:18.470
2,10.042,2:28.083,4,10.466,2:29.110,1,9.646,2:26.934,5,10.965,2:30.272,3,10.399,2:28.868
2,10.54,2:38.622,4,10.57,2:39.673,1,10.30,2:37.234,5,11.15,2:41.414,3,10.66,2:39.523
