YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME
3,13.12,13.12,4,13.16,13.16,5,13.22,13.22,1,12.81,12.81,6,13.27,13.27,2,13.02,13.02
1,9.04,22.16,6,9.51,22.67,3,9.14,22.36,2,9.45,22.26,5,9.24,22.51,4,9.38,22.40
2,9.43,31.59,6,9.39,32.06,1,9.21,31.57,2,9.33,31.59,5,9.40,31.91,4,9.37,31.77
3,9.21,40.80,6,9.02,41.08,2,9.13,40.70,1,9.01,40.60,5,9.07,40.98,4,9.13,40.90
3,9.17,49.97,6,9.25,50.33,1,9.10,49.80,2,9.26,49.86,5,9.19,50.17,4,9.17,50.07
3,9.01,58.98,6,8.83,59.16,4,9.19,58.99,1,9.00,58.86,5,8.84,59.01,2,8.89,58.96
4,9.15,1:08.13,4,8.97,1:08.13,6,9.32,1:08.31,1,8.91,1:07.77,3,8.80,1:07.81,2,8.83,1:07.79
4,9.10,1:17.23,5,9.12,1:17.25,6,9.09,1:17.40,3,9.16,1:16.93,2,8.94,1:16.75,1,8.81,1:16.60
4,9.25,1:26.481,5,9.66,1:26.914,6,9.78,1:27.176,3,9.28,1:26.213,2,9.05,1:25.802,1,9.01,1:25.614
