Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME
1,6.93,6.93,2,7.09,7.09,4,7.32,7.32,3,7.21,7.21
1,9.22,16.15,2,9.19,16.28,4,9.31,16.63,3,9.33,16.54
1,8.78,24.93,2,8.74,25.02,4,8.68,25.31,3,8.62,25.16
1,9.02,33.95,2,8.94,33.96,4,8.89,34.20,3,8.94,34.10
2,9.37,43.316,1,9.26,43.214,4,9.35,43.550,3,9.24,43.338
