KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME
3,9.36,9.36,6,9.65,9.65,5,9.52,9.52,1,9.17,9.17,4,9.40,9.40,2,9.28,9.28,7,9.78,9.78
4,13.03,22.39,6,13.02,22.67,5,13.02,22.54,1,12.85,22.02,3,12.87,22.27,2,12.88,22.16,7,13.02,22.80
4,12.35,34.74,6,12.32,34.99,5,12.31,34.85,1,12.35,34.37,3,12.36,34.63,2,12.37,34.53,7,12.34,35.14
4,12.10,46.84,6,12.11,47.10,5,12.12,46.97,2,12.11,46.48,3,12.03,46.66,1,11.91,46.44,7,12.10,47.24
4,11.25,58.09,6,11.24,58.34,5,11.25,58.22,1,11.25,57.73,3,11.33,57.99,2,11.43,57.87,7,11.22,58.46
3,10.89,1:08.98,6,10.91,1:09.25,5,10.91,1:09.13,1,11.09,1:08.82,4,11.02,1:09.01,2,11.01,1:08.88,7,10.94,1:09.40
1,9.69,1:18.67,5,10.00,1:19.25,4,10.03,1:19.16,6,10.54,1:19.36,3,10.09,1:19.10,2,10.00,1:18.88,7,10.12,1:19.52
1,10.15,1:28.82,5,9.97,1:29.22,4,9.94,1:29.10,6,9.96,1:29.32,3,9.89,1:28.99,2,10.00,1:28.88,7,9.95,1:29.47
1,10.09,1:38.91,5,10.14,1:39.36,4,10.18,1:39.28,6,10.16,1:39.48,3,10.17,1:39.16,2,10.16,1:39.04,7,10.20,1:39.67
1,10.00,1:48.91,5,9.97,1:49.33,4,9.95,1:49.23,6,10.02,1:49.50,3,10.01,1:49.17,2,9.98,1:49.02,7,10.06,1:49.73
1,9.86,1:58.77,5,9.91,1:59.24,4,9.92,1:59.15,6,10.01,1:59.51,3,9.89,1:59.06,2,9.87,1:58.89,7,10.13,1:59.86
1,9.84,2:08.61,5,9.77,2:09.01,4,9.79,2:08.94,6,10.11,2:09.62,3,9.80,2:08.86,2,9.85,2:08.74,7,10.99,2:10.85
1,9.85,2:18.46,4,9.79,2:18.80,5,9.97,2:18.91,6,10.68,2:20.30,3,9.93,2:18.79,2,9.83,2:18.57,7,11.68,2:22.53
1,9.88,2:28.34,3,9.67,2:28.472,5,10.12,2:29.039,6,11.44,2:31.747,4,10.17,2:28.968,3,9.88,2:28.45,7,12.32,2:34.854
