HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,FAJKUS Radek POSITION,FAJKUS Radek LAP TIME,FAJKUS Radek ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
3,13.38,13.38,5,13.58,13.58,2,13.27,13.27,4,13.49,13.49,1,13.10,13.10
4,10.23,23.61,5,10.18,23.76,2,10.08,23.35,1,9.76,23.25,3,10.29,23.39
4,9.64,33.25,5,9.58,33.34,2,9.63,32.98,1,9.53,32.78,3,9.70,33.09
4,9.61,42.86,5,9.67,43.01,1,9.50,42.48,2,9.72,42.50,3,9.62,42.71
4,9.31,52.17,5,9.38,52.39,1,9.48,51.96,3,9.60,52.10,2,9.35,52.06
3,9.30,1:01.47,5,9.53,1:01.92,1,9.28,1:01.24,4,9.50,1:01.60,2,9.31,1:01.37
3,9.24,1:10.71,5,9.67,1:11.59,1,9.20,1:10.44,4,9.22,1:10.82,2,9.17,1:10.54
3,9.17,1:19.88,5,9.92,1:21.51,1,9.16,1:19.60,4,9.24,1:20.06,2,9.20,1:19.74
3,9.10,1:28.98,5,10.16,1:31.67,1,9.24,1:28.84,4,9.45,1:29.51,2,9.14,1:28.88
