Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,KANG Yun-Mi POSITION,KANG Yun-Mi LAP TIME,KANG Yun-Mi ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME
3,14.602,14.602,2,14.580,14.580,1,14.439,14.439,4,14.692,14.692
1,12.785,27.387,2,12.957,27.537,4,13.432,27.871,3,13.051,27.742
1,13.483,40.870,4,13.646,41.183,2,13.042,40.913,3,13.435,41.177
2,11.417,52.286,4,11.177,52.359,1,11.068,51.981,3,11.162,52.339
4,10.238,1:02.523,3,10.140,1:02.499,1,10.371,1:02.351,2,10.119,1:02.458
3,10.223,1:12.746,4,10.412,1:12.910,1,10.039,1:12.389,2,10.177,1:12.635
4,10.339,1:23.085,3,9.904,1:22.814,1,10.170,1:22.559,2,10.090,1:22.725
3,9.851,1:32.935,4,10.128,1:32.941,1,9.743,1:32.301,2,10.061,1:32.786
3,10.07,1:43.005,4,10.92,1:43.860,1,10.45,1:42.745,2,10.08,1:42.858
