Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Balazs KNOCH POSITION,Balazs KNOCH LAP TIME,Balazs KNOCH ELAPSED TIME,Dave VERSTEEG POSITION,Dave VERSTEEG LAP TIME,Dave VERSTEEG ELAPSED TIME
1,7.023,7.023,3,7.054,7.054,2,7.044,7.044
3,11.615,18.637,2,9.438,16.492,1,9.127,16.171
3,13.654,32.291,2,9.369,25.860,1,9.233,25.403
3,10.828,43.118,2,10.225,36.085,1,9.451,34.854
3,10.80,53.917,2,11.13,47.213,1,9.91,44.755
