Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Tjasa KROFLIC POSITION,Tjasa KROFLIC LAP TIME,Tjasa KROFLIC ELAPSED TIME
3,9.78,9.78,6,10.16,10.16,5,10.16,10.16,2,9.55,9.55,1,9.40,9.40,4,10.07,10.07
1,14.48,24.26,3,14.67,24.83,5,14.85,25.02,4,15.27,24.83,2,15.03,24.44,6,15.02,25.09
2,15.09,39.36,3,14.76,39.59,4,14.65,39.68,6,14.99,39.82,1,14.89,39.34,5,14.65,39.75
4,12.81,52.17,5,12.61,52.21,6,13.19,52.87,2,12.24,52.07,3,12.73,52.07,1,11.90,51.65
3,12.24,1:04.42,2,12.14,1:04.35,5,11.83,1:04.71,1,12.16,1:04.23,4,12.36,1:04.44,6,13.27,1:04.92
4,12.73,1:17.15,3,12.78,1:17.14,5,12.50,1:17.21,1,12.79,1:17.02,2,12.66,1:17.10,6,12.62,1:17.55
2,12.00,1:29.16,6,12.37,1:29.51,4,12.17,1:29.38,3,12.26,1:29.28,1,12.03,1:29.14,5,11.82,1:29.38
3,12.35,1:41.51,6,12.27,1:41.79,5,12.35,1:41.74,2,12.07,1:41.35,1,12.04,1:41.18,4,12.34,1:41.73
1,10.53,1:52.04,6,11.35,1:53.14,4,11.24,1:52.98,2,10.77,1:52.13,3,11.56,1:52.74,5,11.31,1:53.04
1,11.00,2:03.05,5,10.43,2:03.57,4,10.45,2:03.44,2,10.96,2:03.10,3,10.43,2:03.17,6,11.69,2:04.73
1,10.42,2:13.47,5,10.26,2:13.84,3,10.23,2:13.67,2,10.40,2:13.50,4,10.56,2:13.74,6,11.14,2:15.88
3,9.80,2:23.28,4,9.83,2:23.67,5,10.04,2:23.72,1,8.99,2:22.49,2,9.53,2:23.27,6,11.50,2:27.39
2,9.94,2:33.22,3,9.88,2:33.55,5,11.08,2:34.80,1,10.14,2:32.63,4,10.40,2:33.68,6,12.13,2:39.52
1,10.31,2:43.527,2,10.24,2:43.789,4,10.85,2:45.648,0,,DQ,3,11.26,2:44.938,5,12.51,2:52.029
