KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
5,10.44,10.44,2,9.82,9.82,3,10.04,10.04,1,9.71,9.71,4,10.19,10.19,7,10.70,10.70,6,10.52,10.52
5,14.58,25.02,3,14.78,24.60,1,14.45,24.49,2,14.79,24.50,4,14.62,24.81,7,14.60,25.30,6,14.61,25.13
6,13.25,38.27,3,13.19,37.79,1,13.04,37.53,2,13.14,37.64,4,13.13,37.94,7,13.08,38.38,5,12.93,38.06
7,12.22,50.49,4,12.23,50.02,2,12.34,49.87,1,12.16,49.80,3,12.05,49.99,6,11.98,50.36,5,12.16,50.22
7,10.51,1:01.00,4,10.61,1:00.63,2,10.59,1:00.46,3,10.66,1:00.46,1,10.37,1:00.36,6,10.50,1:00.86,5,10.52,1:00.74
7,9.82,1:10.82,4,10.01,1:10.64,1,9.92,1:10.38,2,9.92,1:10.38,3,10.08,1:10.44,6,9.96,1:10.82,5,9.99,1:10.73
3,9.33,1:20.15,4,9.60,1:20.24,2,9.76,1:20.14,1,9.68,1:20.06,5,9.81,1:20.25,7,9.66,1:20.48,6,9.64,1:20.37
1,9.14,1:29.29,5,9.35,1:29.59,3,9.35,1:29.49,2,9.30,1:29.36,6,9.46,1:29.71,7,9.37,1:29.85,4,9.19,1:29.56
1,9.27,1:38.56,5,9.30,1:38.89,4,9.26,1:38.75,2,9.29,1:38.65,6,9.27,1:38.98,7,9.21,1:39.06,3,9.17,1:38.73
1,9.23,1:47.79,3,9.09,1:47.98,4,9.25,1:48.00,2,9.22,1:47.87,6,9.24,1:48.22,7,9.27,1:48.33,5,9.38,1:48.11
2,9.25,1:57.04,4,9.34,1:57.32,3,9.21,1:57.21,1,9.07,1:56.94,6,9.28,1:57.50,7,9.41,1:57.74,5,9.28,1:57.39
2,9.11,2:06.15,4,9.10,2:06.42,3,9.08,2:06.29,1,9.16,2:06.10,6,9.12,2:06.62,7,9.45,2:07.19,5,9.14,2:06.53
6,9.80,2:15.95,3,9.10,2:15.52,2,9.21,2:15.50,1,9.16,2:15.26,5,9.09,2:15.71,7,9.70,2:16.89,4,9.04,2:15.57
5,10.18,2:26.125,2,9.18,2:24.699,0,,PEN,1,9.31,2:24.566,3,9.18,2:24.886,6,10.22,2:27.109,4,9.49,2:25.054
