LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
5,8.63,8.63,1,8.14,8.14,4,8.40,8.40,6,8.64,8.64,2,8.22,8.22,3,8.27,8.27
6,11.47,20.11,1,11.44,19.58,2,11.28,19.68,5,11.35,20.00,3,11.52,19.74,4,11.52,19.79
6,10.84,30.95,2,10.93,30.52,4,11.07,30.76,5,10.75,30.76,3,10.93,30.68,1,10.50,30.30
6,10.77,41.73,2,10.72,41.24,4,10.71,41.48,5,10.76,41.52,3,10.69,41.37,1,10.89,41.20
6,10.69,52.43,2,10.64,51.88,5,10.72,52.20,4,10.62,52.14,3,10.71,52.08,1,10.27,51.48
6,10.22,1:02.65,2,10.13,1:02.02,5,10.13,1:02.34,4,10.04,1:02.18,3,10.04,1:02.12,1,10.45,1:01.93
6,11.25,1:13.91,1,10.00,1:12.02,5,10.21,1:12.55,4,10.17,1:12.36,3,10.20,1:12.32,2,10.14,1:12.08
6,8.54,1:22.46,2,9.80,1:21.82,5,9.62,1:22.18,4,9.70,1:22.06,3,9.72,1:22.05,1,9.62,1:21.70
6,9.40,1:31.86,2,9.60,1:31.43,3,9.42,1:31.60,4,9.55,1:31.61,5,9.56,1:31.62,1,9.51,1:31.21
6,9.69,1:41.56,1,9.46,1:40.89,5,9.79,1:41.40,4,9.60,1:41.22,3,9.39,1:41.01,2,9.68,1:40.89
6,9.39,1:50.95,3,9.61,1:50.51,5,9.27,1:50.67,4,9.37,1:50.59,2,9.34,1:50.36,1,9.13,1:50.02
5,9.41,2:00.36,3,9.27,1:59.78,6,9.70,2:00.37,4,9.64,2:00.24,2,9.18,1:59.54,1,9.50,1:59.52
4,9.19,2:09.55,3,9.54,2:09.33,5,9.94,2:10.31,6,10.25,2:10.50,2,9.44,2:08.99,1,9.45,2:08.98
4,9.80,2:19.341,3,9.89,2:19.213,5,10.73,2:21.034,6,10.73,2:21.224,1,9.77,2:18.753,2,10.18,2:19.153
