Agnieszka BAWERNA POSITION,Agnieszka BAWERNA LAP TIME,Agnieszka BAWERNA ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
1,9.427,9.427,3,9.695,9.695,2,9.674,9.674,4,9.924,9.924,5,9.949,9.949,6,10.267,10.267
1,12.169,21.596,2,14.098,23.793,3,14.402,24.076,4,14.210,24.133,5,14.315,24.264,6,14.295,24.562
1,14.739,36.335,3,12.824,36.617,2,12.428,36.504,4,12.749,36.882,5,12.724,36.988,6,12.681,37.242
1,11.381,47.716,2,11.237,47.854,3,11.394,47.898,4,11.130,48.012,5,11.057,48.045,6,11.081,48.323
1,10.681,58.397,2,10.738,58.592,3,10.817,58.715,4,10.885,58.897,5,10.967,59.012,6,10.932,59.255
1,11.177,1:09.574,3,11.289,1:09.881,2,11.149,1:09.863,4,11.223,1:10.120,5,11.173,1:10.186,6,11.107,1:10.362
1,10.991,1:20.564,4,11.025,1:20.906,2,10.845,1:20.708,3,10.735,1:20.855,5,11.018,1:21.203,6,10.954,1:21.316
1,9.194,1:29.758,3,10.628,1:31.533,2,10.748,1:31.456,4,10.894,1:31.748,5,10.666,1:31.870,6,10.791,1:32.108
1,11.615,1:41.373,2,10.016,1:41.549,3,10.159,1:41.614,4,10.008,1:41.756,5,10.212,1:42.082,6,10.193,1:42.301
1,6.909,1:48.282,2,9.965,1:51.514,3,9.926,1:51.540,4,9.990,1:51.747,5,10.055,1:52.137,6,10.708,1:53.008
1,3.098,1:51.379,2,9.933,2:01.447,3,9.955,2:01.495,4,9.904,2:01.650,5,9.607,2:01.744,6,11.182,2:04.190
1,9.853,2:01.233,2,9.803,2:11.250,3,9.821,2:11.316,4,9.676,2:11.327,5,9.912,2:11.657,6,11.512,2:15.703
1,9.787,2:11.020,3,9.683,2:20.933,2,9.321,2:20.637,4,9.766,2:21.093,5,9.995,2:21.652,6,11.889,2:27.592
1,9.812,2:20.832,3,9.862,2:30.794,4,10.359,2:30.996,5,10.032,2:31.125,2,9.118,2:30.770,6,12.097,2:39.689
