HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
4,10.91,10.91,3,10.71,10.71,2,10.56,10.56,6,11.19,11.19,1,10.49,10.49,7,11.30,11.30,5,10.95,10.95
4,14.05,24.96,3,14.09,24.80,2,14.15,24.71,7,14.05,25.24,1,14.11,24.60,6,13.81,25.11,5,14.15,25.10
5,11.97,36.93,3,11.84,36.64,2,11.79,36.50,6,11.77,37.01,1,11.82,36.42,4,11.67,36.78,6,11.91,37.01
5,10.88,47.81,1,10.91,47.55,3,11.16,47.66,4,10.75,47.76,2,11.17,47.59,6,11.07,47.85,7,11.02,48.03
4,10.80,58.61,1,10.75,58.30,3,10.82,58.48,5,10.94,58.70,1,10.71,58.30,6,10.97,58.82,7,10.93,58.96
3,9.88,1:08.49,2,10.10,1:08.40,4,10.03,1:08.51,5,9.90,1:08.60,1,10.00,1:08.30,6,9.93,1:08.75,7,9.82,1:08.78
1,9.05,1:17.54,2,9.28,1:17.68,4,9.40,1:17.91,3,9.23,1:17.83,4,9.61,1:17.91,6,9.31,1:18.06,7,9.41,1:18.19
1,9.32,1:26.86,2,9.27,1:26.95,6,9.27,1:27.18,3,9.24,1:27.07,4,9.17,1:27.08,5,9.07,1:27.13,7,9.16,1:27.35
2,9.15,1:36.01,1,9.01,1:35.96,6,9.12,1:36.30,3,9.01,1:36.08,5,9.11,1:36.19,4,8.99,1:36.12,7,9.02,1:36.37
3,9.17,1:45.18,1,9.04,1:45.00,6,9.13,1:45.43,5,9.21,1:45.29,4,9.09,1:45.28,2,8.95,1:45.07,7,9.19,1:45.56
2,9.01,1:54.19,1,9.18,1:54.18,7,9.19,1:54.62,5,9.23,1:54.52,4,9.13,1:54.41,3,9.26,1:54.33,6,9.05,1:54.61
1,8.99,2:03.18,2,9.10,2:03.28,7,9.25,2:03.87,4,8.98,2:03.50,5,9.26,2:03.67,3,9.06,2:03.39,6,9.10,2:03.71
1,9.09,2:12.27,2,9.07,2:12.35,7,9.14,2:13.01,4,9.04,2:12.54,5,8.99,2:12.66,3,9.06,2:12.45,6,9.23,2:12.94
1,9.19,2:21.46,2,9.21,2:21.56,7,9.79,2:22.791,3,9.11,2:21.65,5,9.17,2:21.808,4,9.31,2:21.76,6,9.05,2:21.971
