Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME
1,9.47,9.47,3,9.68,9.68,6,9.83,9.83,2,9.54,9.54,5,9.76,9.76,4,9.75,9.75
2,13.08,22.55,3,12.96,22.64,5,12.89,22.72,1,12.92,22.46,6,13.09,22.85,4,12.97,22.72
2,12.53,35.08,3,12.56,35.20,5,12.58,35.30,1,12.48,34.94,6,12.57,35.42,4,12.48,35.20
1,11.00,46.08,3,11.11,46.31,5,11.23,46.53,2,11.22,46.16,6,11.21,46.63,4,11.21,46.41
1,10.72,56.80,3,10.66,56.97,5,10.62,57.15,2,10.71,56.87,6,10.64,57.27,4,10.64,57.05
1,10.91,1:07.71,3,10.94,1:07.91,5,10.98,1:08.13,2,10.89,1:07.76,6,10.97,1:08.24,4,10.96,1:08.01
6,10.93,1:18.64,2,10.00,1:17.91,4,9.99,1:18.12,1,10.01,1:17.77,5,10.26,1:18.50,3,10.00,1:18.01
5,9.99,1:28.63,2,9.97,1:27.88,4,9.98,1:28.10,1,10.01,1:27.78,6,10.14,1:28.64,3,9.98,1:27.99
5,9.92,1:38.55,2,10.05,1:37.93,4,10.03,1:38.13,1,10.04,1:37.82,6,10.28,1:38.92,3,10.04,1:38.03
5,10.03,1:48.58,2,10.23,1:48.16,4,10.26,1:48.39,1,10.22,1:48.04,6,10.44,1:49.36,3,10.28,1:48.31
5,10.25,1:58.83,3,10.22,1:58.38,2,9.98,1:58.37,1,10.20,1:58.24,6,10.74,2:00.10,4,10.42,1:58.73
4,10.53,2:09.36,3,10.49,2:08.87,1,9.72,2:08.09,2,10.29,2:08.53,6,11.05,2:11.15,5,10.76,2:09.49
4,10.63,2:19.99,3,10.66,2:19.53,1,9.88,2:17.97,2,10.51,2:19.04,6,11.32,2:22.47,5,11.30,2:20.79
3,11.13,2:31.112,2,11.07,2:30.593,1,10.44,2:28.403,0,,PEN,5,11.79,2:34.259,4,11.74,2:32.529
