BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME
1,6.80,6.80,3,7.14,7.14,4,7.27,7.27,2,6.90,6.90,5,7.42,7.42
1,9.06,15.86,3,8.95,16.09,4,9.08,16.35,2,8.97,15.87,5,9.17,16.59
2,8.66,24.52,3,8.51,24.60,4,8.71,25.06,1,8.53,24.40,5,8.91,25.50
2,8.61,33.13,3,8.61,33.21,4,8.84,33.90,1,8.64,33.04,5,9.04,34.54
3,9.10,42.224,1,8.91,42.119,4,9.16,43.053,2,9.11,42.145,5,9.38,43.914
