J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
2,13.58,13.58,3,13.63,13.63,1,13.40,13.40,4,13.79,13.79
4,10.68,24.27,2,10.37,24.00,1,10.57,23.97,3,10.47,24.26
3,9.71,33.98,2,9.95,33.96,1,9.73,33.71,4,9.83,34.10
3,9.23,43.21,2,9.25,43.21,1,9.32,43.04,4,9.30,43.41
4,9.51,52.73,2,9.29,52.50,1,9.21,52.25,3,9.19,52.61
4,9.43,1:02.16,2,9.42,1:01.93,1,9.44,1:01.70,3,9.36,1:01.97
4,9.39,1:11.56,3,9.32,1:11.25,1,9.41,1:11.11,2,9.20,1:11.18
4,9.20,1:20.77,2,9.30,1:20.56,1,9.24,1:20.36,3,9.49,1:20.67
3,9.24,1:30.002,2,9.23,1:29.786,1,9.34,1:29.691,4,9.43,1:30.094
