JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,YU Songnan POSITION,YU Songnan LAP TIME,YU Songnan ELAPSED TIME,Aaron HEO POSITION,Aaron HEO LAP TIME,Aaron HEO ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME
1,8.97,8.97,3,9.27,9.27,2,9.11,9.11,6,9.62,9.62,5,9.53,9.53,4,9.41,9.41
2,13.82,22.79,3,13.67,22.94,1,13.64,22.75,6,13.79,23.41,4,13.49,23.02,5,13.65,23.06
2,11.11,33.90,5,11.21,34.15,1,11.06,33.81,6,10.97,34.38,3,11.02,34.04,4,11.06,34.12
3,10.06,43.96,5,10.09,44.24,1,9.99,43.80,6,10.07,44.45,4,10.07,44.11,2,9.75,43.87
3,9.93,53.89,5,9.78,54.02,1,9.92,53.72,6,9.86,54.31,4,9.79,53.90,2,9.95,53.82
4,9.86,1:03.75,2,9.47,1:03.49,1,9.68,1:03.40,6,9.79,1:04.10,5,10.01,1:03.91,3,9.80,1:03.62
3,9.59,1:13.34,2,9.73,1:13.22,1,9.71,1:13.11,6,9.59,1:13.69,5,9.65,1:13.56,4,9.85,1:13.47
3,9.56,1:22.90,2,9.59,1:22.81,1,9.62,1:22.73,6,9.49,1:23.18,5,9.53,1:23.09,4,9.53,1:23.00
3,9.50,1:32.40,2,9.49,1:32.30,1,9.48,1:32.21,6,9.60,1:32.78,4,9.43,1:32.52,5,9.64,1:32.64
3,9.18,1:41.58,2,9.18,1:41.48,1,9.16,1:41.37,5,9.12,1:41.90,4,9.17,1:41.69,6,9.51,1:42.15
2,8.85,1:50.43,3,9.09,1:50.57,1,8.96,1:50.33,5,8.84,1:50.74,4,9.02,1:50.71,6,9.93,1:52.08
2,8.93,1:59.36,4,9.09,1:59.66,1,8.95,1:59.28,3,8.87,1:59.61,5,9.05,1:59.76,6,10.40,2:02.48
3,9.07,2:08.43,4,9.27,2:08.93,1,9.01,2:08.29,2,8.69,2:08.30,5,9.38,2:09.14,6,10.81,2:13.29
3,9.42,2:17.851,4,9.48,2:18.411,2,9.40,2:17.697,1,8.86,2:17.16,5,10.25,2:19.396,6,11.36,2:24.654
