JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,ZHU Mi Lei POSITION,ZHU Mi Lei LAP TIME,ZHU Mi Lei ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
4,15.699,15.699,2,15.258,15.258,1,15.115,15.115,3,15.544,15.544
4,12.074,27.773,1,12.287,27.545,2,12.555,27.669,3,12.219,27.763
1,9.593,37.366,2,9.906,37.451,3,9.787,37.455,4,9.967,37.729
1,9.645,47.010,2,9.654,47.104,4,10.591,48.046,3,9.853,47.582
3,10.027,57.037,2,9.863,56.967,1,8.758,56.803,4,9.749,57.330
4,9.507,1:06.544,1,9.447,1:06.413,3,9.679,1:06.482,2,9.112,1:06.442
4,9.774,1:16.318,1,9.532,1:15.945,2,9.485,1:15.967,3,9.847,1:16.288
3,9.679,1:25.996,4,10.391,1:26.335,1,9.653,1:25.620,2,9.534,1:25.821
1,10.32,1:36.309,4,11.88,1:38.207,3,10.83,1:36.441,2,10.56,1:36.372
