Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
1,7.16,7.16,4,7.51,7.51,2,7.31,7.31,3,7.48,7.48
1,9.51,16.67,4,9.50,17.01,2,9.46,16.77,3,9.40,16.88
1,8.96,25.63,4,8.88,25.89,2,8.92,25.69,3,8.92,25.80
1,9.10,34.73,3,9.00,34.89,2,9.04,34.73,4,9.60,35.40
2,9.26,43.986,3,9.18,44.062,1,9.17,43.899,0,,PEN
