Bartosz BIELECKI POSITION,Bartosz BIELECKI LAP TIME,Bartosz BIELECKI ELAPSED TIME,Guillian van WAASDIJK POSITION,Guillian van WAASDIJK LAP TIME,Guillian van WAASDIJK ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Michal CUJA POSITION,Michal CUJA LAP TIME,Michal CUJA ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,Clement FLORAC POSITION,Clement FLORAC LAP TIME,Clement FLORAC ELAPSED TIME
4,11.17,11.17,5,11.33,11.33,3,11.00,11.00,1,10.61,10.61,2,10.78,10.78,6,11.47,11.47
4,15.05,26.22,5,15.06,26.39,3,15.06,26.06,1,15.14,25.75,2,15.11,25.89,6,15.09,26.56
4,13.76,39.98,5,13.75,40.14,3,13.76,39.82,1,13.76,39.51,2,13.74,39.63,6,13.74,40.30
4,13.38,53.36,5,13.39,53.53,3,13.40,53.22,1,13.46,52.97,2,13.48,53.11,6,13.36,53.66
4,12.70,1:06.06,5,12.69,1:06.22,3,12.68,1:05.90,1,12.63,1:05.60,2,12.63,1:05.74,6,12.71,1:06.37
4,11.63,1:17.69,5,11.59,1:17.81,3,11.67,1:17.57,1,11.71,1:17.31,2,11.67,1:17.41,6,11.56,1:17.93
4,11.25,1:28.94,5,11.23,1:29.04,3,11.25,1:28.82,1,11.27,1:28.58,2,11.28,1:28.69,6,11.21,1:29.14
3,10.29,1:39.23,5,10.31,1:39.35,1,10.22,1:39.04,4,10.67,1:39.25,2,10.40,1:39.09,6,10.35,1:39.49
2,9.48,1:48.71,6,9.67,1:49.02,1,9.55,1:48.59,4,9.72,1:48.97,2,9.62,1:48.71,4,9.48,1:48.97
2,9.54,1:58.25,5,9.67,1:58.69,1,9.56,1:58.15,6,9.85,1:58.82,3,9.65,1:58.36,4,9.48,1:58.45
2,9.34,2:07.59,5,9.47,2:08.16,1,9.34,2:07.49,6,9.95,2:08.77,3,9.48,2:07.84,4,9.47,2:07.92
2,9.35,2:16.94,5,9.49,2:17.65,1,9.35,2:16.84,6,10.44,2:19.21,4,9.64,2:17.48,3,9.41,2:17.33
2,9.39,2:26.33,5,10.44,2:28.09,1,9.31,2:26.15,6,10.96,2:30.17,4,10.00,2:27.48,3,9.49,2:26.82
2,9.45,2:35.759,6,32.06,3:00.109,1,9.46,2:35.597,5,11.88,2:42.023,4,10.57,2:38.031,3,9.76,2:36.559
