Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Karl LINDQVIST POSITION,Karl LINDQVIST LAP TIME,Karl LINDQVIST ELAPSED TIME
4,8.645,8.645,2,8.509,8.509,1,8.264,8.264,5,8.670,8.670,3,8.547,8.547
4,11.025,19.670,2,10.991,19.500,1,11.076,19.340,5,11.049,19.718,3,11.075,19.622
3,11.011,30.680,2,11.107,30.607,1,11.046,30.386,5,11.047,30.766,4,11.118,30.740
2,10.838,41.519,3,11.011,41.619,1,11.029,41.415,4,11.027,41.793,5,11.070,41.810
1,11.158,52.677,2,11.141,52.759,3,11.346,52.761,5,11.190,52.982,4,11.073,52.884
3,10.794,1:03.471,4,10.740,1:03.499,2,10.591,1:03.352,5,10.809,1:03.791,1,10.232,1:03.115
3,10.514,1:13.985,4,10.598,1:14.097,2,10.543,1:13.895,5,10.419,1:14.210,1,10.627,1:13.742
1,10.552,1:24.537,4,10.602,1:24.699,3,10.695,1:24.590,5,10.564,1:24.773,2,10.807,1:24.549
2,10.077,1:34.613,3,9.934,1:34.633,1,9.798,1:34.389,4,9.987,1:34.760,5,10.240,1:34.789
2,9.975,1:44.589,3,10.099,1:44.732,1,10.022,1:44.410,4,9.995,1:44.755,5,10.467,1:45.256
1,9.840,1:54.429,3,9.941,1:54.674,2,10.076,1:54.487,4,10.176,1:54.931,5,10.883,1:56.139
2,9.892,2:04.321,3,9.884,2:04.558,1,9.780,2:04.267,4,10.179,2:05.110,5,11.315,2:07.454
1,9.707,2:14.028,3,9.938,2:14.496,2,10.089,2:14.355,4,10.759,2:15.869,5,11.647,2:19.101
1,10.008,2:24.036,2,10.487,2:24.983,3,10.906,2:25.261,4,11.149,2:27.018,5,12.281,2:31.382
