Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME
4,15.70,15.70,2,15.29,15.29,1,15.14,15.14,3,15.44,15.44
4,10.40,26.10,2,10.63,25.92,1,10.67,25.81,3,10.59,26.03
4,10.22,36.32,2,10.17,36.09,1,10.16,35.97,3,10.18,36.21
4,9.50,45.82,2,9.47,45.56,1,9.51,45.48,3,9.49,45.70
4,9.04,54.86,1,8.85,54.41,2,9.04,54.52,3,9.05,54.75
3,8.78,1:03.64,1,8.82,1:03.23,2,8.79,1:03.31,4,9.02,1:03.77
3,8.87,1:12.51,1,8.87,1:12.10,2,8.84,1:12.15,4,9.16,1:12.93
3,8.98,1:21.49,2,9.26,1:21.36,1,9.01,1:21.16,4,9.42,1:22.35
3,9.32,1:30.81,2,9.38,1:30.722,1,9.38,1:30.522,4,9.78,1:32.13
