Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
4,9.611,9.611,2,9.412,9.412,1,9.162,9.162,3,9.611,9.611,5,9.672,9.672
4,15.066,24.676,1,14.806,24.218,2,15.140,24.301,3,15.011,24.622,5,15.264,24.936
4,13.207,37.882,1,13.253,37.470,2,13.319,37.619,3,13.254,37.875,5,13.021,37.957
4,12.844,50.725,1,12.901,50.371,2,12.823,50.441,3,12.786,50.661,5,12.881,50.837
4,12.155,1:02.880,2,12.244,1:02.615,1,11.965,1:02.406,3,12.124,1:02.784,5,12.099,1:02.935
4,11.501,1:14.380,2,11.549,1:14.163,1,11.623,1:14.028,3,11.585,1:14.368,5,11.529,1:14.464
5,10.701,1:25.080,2,10.617,1:24.780,1,10.595,1:24.623,4,10.618,1:24.986,3,10.362,1:24.826
5,9.424,1:34.504,3,9.517,1:34.297,2,9.536,1:34.158,4,9.485,1:34.471,1,9.073,1:33.899
5,9.412,1:43.916,3,9.282,1:43.578,2,9.322,1:43.480,4,9.327,1:43.797,1,9.359,1:43.258
5,9.750,1:53.665,3,9.509,1:53.086,2,9.535,1:53.014,4,9.439,1:53.236,1,9.571,1:52.828
5,10.189,2:03.854,3,9.846,2:02.932,2,9.845,2:02.858,4,9.935,2:03.171,1,9.734,2:02.561
5,11.020,2:14.874,3,9.804,2:12.735,2,9.701,2:12.559,4,9.679,2:12.850,1,9.889,2:12.450
5,11.906,2:26.779,3,9.423,2:22.158,2,9.472,2:22.030,4,9.548,2:22.397,1,9.358,2:21.808
5,13.13,2:39.900,3,9.55,2:31.708,2,9.58,2:31.606,4,10.05,2:32.439,1,9.70,2:31.501
