GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,HWANG Hyun Sun POSITION,HWANG Hyun Sun LAP TIME,HWANG Hyun Sun ELAPSED TIME,You Young CHEA POSITION,You Young CHEA LAP TIME,You Young CHEA ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME
2,8.32,8.32,1,8.23,8.23,5,8.71,8.71,6,8.85,8.85,4,8.52,8.52,3,8.42,8.42
3,11.64,19.96,1,11.59,19.82,2,11.24,19.95,6,11.54,20.39,5,11.69,20.21,4,11.66,20.08
2,10.25,30.21,1,10.32,30.14,3,10.38,30.33,6,10.27,30.66,5,10.30,30.51,4,10.33,30.41
2,10.70,40.91,1,10.69,40.83,3,10.69,41.02,6,10.72,41.38,5,10.73,41.24,4,10.72,41.13
2,10.97,51.88,1,10.95,51.78,3,10.98,52.00,6,10.96,52.34,5,10.98,52.22,4,10.98,52.11
1,9.97,1:01.85,2,10.27,1:02.05,3,10.21,1:02.21,6,10.15,1:02.49,5,10.15,1:02.37,4,10.15,1:02.26
1,10.03,1:11.88,3,10.03,1:12.08,6,10.27,1:12.48,5,9.94,1:12.43,4,9.94,1:12.31,2,9.65,1:11.91
2,9.85,1:21.73,3,9.84,1:21.92,6,10.62,1:23.10,5,9.83,1:22.26,4,9.94,1:22.25,1,9.62,1:21.53
2,10.19,1:31.92,3,10.12,1:32.04,6,11.44,1:34.54,4,9.83,1:32.09,5,10.19,1:32.44,1,10.36,1:31.89
1,10.07,1:41.99,4,10.45,1:42.49,6,12.85,1:47.39,2,9.91,1:42.00,5,10.47,1:42.91,3,10.36,1:42.25
2,10.35,1:52.34,4,10.55,1:53.04,6,14.12,2:01.51,1,10.01,1:52.01,5,10.95,1:53.86,3,10.59,1:52.84
2,10.51,2:02.85,4,10.59,2:03.63,6,16.30,2:17.81,1,10.54,2:02.55,5,11.86,2:05.72,3,10.71,2:03.55
2,10.71,2:13.56,4,11.06,2:14.69,6,14.27,2:32.08,1,10.75,2:13.30,5,12.68,2:18.40,3,10.92,2:14.47
2,10.98,2:24.536,4,11.08,2:25.768,6,13.88,2:45.960,1,11.11,2:24.403,5,12.68,2:31.076,3,11.27,2:25.736
