Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME
1,6.87,6.87,3,7.02,7.02,2,7.01,7.01,4,7.34,7.34
1,9.28,16.15,3,9.60,16.62,2,9.41,16.42,4,9.46,16.80
1,8.98,25.13,3,8.90,25.52,2,8.76,25.18,4,9.01,25.81
2,8.95,34.08,3,8.91,34.43,1,8.79,33.97,4,8.98,34.79
2,9.45,43.521,3,9.18,43.605,1,9.23,43.197,4,9.62,44.409
