Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME
3,13.74,13.74,4,13.90,13.90,1,13.54,13.54,2,13.64,13.64
3,10.07,23.81,4,10.03,23.93,1,10.06,23.60,2,10.09,23.73
3,9.40,33.21,4,9.28,33.21,1,9.43,33.03,2,9.40,33.13
4,9.21,42.42,3,9.12,42.33,1,9.06,42.09,2,9.05,42.18
4,8.98,51.40,3,8.95,51.28,1,8.96,51.05,2,8.96,51.14
4,8.88,1:00.28,3,8.92,1:00.20,1,8.90,59.95,2,8.90,1:00.04
4,8.83,1:09.11,3,8.77,1:08.97,1,8.86,1:08.81,2,8.84,1:08.88
4,8.65,1:17.76,3,8.71,1:17.68,1,8.81,1:17.62,2,8.76,1:17.64
2,9.28,1:27.039,1,9.14,1:26.821,3,44.87,2:02.486,0,,PEN
