Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Mikhail RAJINE POSITION,Mikhail RAJINE LAP TIME,Mikhail RAJINE ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME
2,6.691,6.691,1,6.433,6.433,3,6.746,6.746,4,7.030,7.030
2,9.156,15.847,1,9.021,15.453,3,9.113,15.858,4,9.013,16.043
4,10.484,26.330,1,8.883,24.336,3,9.199,25.056,2,8.935,24.977
4,14.438,40.767,1,9.188,33.524,3,9.331,34.387,2,9.297,34.273
4,15.91,56.673,1,9.57,43.086,3,9.87,44.256,2,9.83,44.097
