MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,LETAI Julie POSITION,LETAI Julie LAP TIME,LETAI Julie ELAPSED TIME,SEO Whi Min POSITION,SEO Whi Min LAP TIME,SEO Whi Min ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
5,13.32,13.32,2,12.83,12.83,3,12.98,12.98,1,12.71,12.71,4,13.09,13.09
5,9.25,22.57,2,9.40,22.23,3,9.41,22.39,1,9.39,22.10,4,9.31,22.40
5,9.20,31.77,2,9.14,31.37,4,9.28,31.67,1,9.18,31.28,3,9.08,31.48
5,9.08,40.85,2,9.20,40.57,4,9.16,40.83,1,9.21,40.49,3,9.16,40.64
4,9.26,50.11,2,9.35,49.92,5,9.47,50.30,1,9.37,49.86,3,9.37,50.01
4,9.36,59.47,2,9.36,59.28,5,9.53,59.83,1,9.33,59.19,3,9.33,59.34
4,9.51,1:08.98,3,9.51,1:08.79,5,10.02,1:09.85,2,9.48,1:08.67,1,9.27,1:08.61
4,9.67,1:18.65,3,9.61,1:18.40,5,10.62,1:20.47,2,9.64,1:18.31,1,9.27,1:17.88
4,10.25,1:28.90,3,9.80,1:28.20,5,10.97,1:31.44,2,9.79,1:28.10,1,9.40,1:27.28
