TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Hazar KARAGOL POSITION,Hazar KARAGOL LAP TIME,Hazar KARAGOL ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
3,13.41,13.41,1,13.30,13.30,5,13.63,,4,13.57,13.57,2,13.32,13.32,6,13.67,13.67
5,10.39,23.80,2,10.21,23.51,5,10.17,,3,10.08,23.65,1,10.05,23.37,4,10.06,23.73
6,10.10,33.90,2,9.99,33.50,4,9.90,,3,9.95,33.60,1,10.02,33.39,5,10.13,33.86
6,9.85,43.75,2,9.61,43.11,5,9.83,,3,9.54,43.14,1,9.62,43.01,4,9.44,43.30
6,9.60,53.35,2,9.18,52.29,5,9.62,,4,9.44,52.58,1,9.19,52.20,3,9.09,52.39
6,9.67,1:03.02,2,9.22,1:01.51,5,9.71,,4,9.14,1:01.72,1,9.20,1:01.40,3,9.15,1:01.54
6,9.85,1:12.87,2,9.17,1:10.68,5,9.90,,4,9.18,1:10.90,1,9.24,1:10.64,3,9.23,1:10.77
6,10.52,1:23.39,2,9.23,1:19.91,5,10.45,,4,9.19,1:20.09,3,9.42,1:20.06,1,9.08,1:19.85
5,11.91,1:35.30,2,9.37,1:29.28,6,37.74,2:00.95,4,10.09,1:30.18,3,9.75,1:29.81,1,9.36,1:29.21
