Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME
1,12.18,12.18,4,12.54,12.54,3,12.52,12.52,2,12.41,12.41,5,12.70,12.70
1,9.39,21.58,2,9.13,21.67,5,9.54,22.07,3,9.58,21.99,4,9.33,22.04
2,9.32,30.90,1,9.21,30.89,5,9.21,31.28,4,9.28,31.27,3,9.23,31.27
1,9.40,40.30,2,9.52,40.42,5,9.51,40.79,3,9.25,40.53,4,9.47,40.74
2,9.54,49.85,1,9.36,49.78,5,9.40,50.19,3,9.45,49.98,4,9.40,50.14
1,9.44,59.29,2,9.63,59.41,3,9.54,59.74,4,9.80,59.78,5,9.67,59.82
1,9.54,1:08.83,2,9.54,1:08.96,3,9.49,1:09.24,5,9.56,1:09.35,4,9.48,1:09.31
2,9.73,1:18.57,1,9.53,1:18.50,5,9.68,1:18.93,3,9.44,1:18.80,4,9.52,1:18.83
1,9.66,1:28.222,3,9.90,1:28.400,5,9.79,1:28.717,2,9.49,1:28.289,4,9.70,1:28.522
