Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME
4,14.11,14.11,2,13.95,13.95,1,13.85,13.85,3,13.95,13.95
3,10.39,24.50,2,10.40,24.35,1,10.41,24.26,4,10.65,24.60
3,10.45,34.95,2,10.48,34.83,1,10.49,34.75,4,10.46,35.06
3,10.51,45.46,2,10.50,45.33,1,10.50,45.25,4,10.52,45.58
3,10.34,55.80,2,10.37,55.70,1,10.36,55.61,4,10.34,55.92
2,10.01,1:05.81,3,10.17,1:05.87,1,10.16,1:05.77,4,10.13,1:06.05
1,9.69,1:15.50,3,9.93,1:15.80,2,9.95,1:15.72,4,9.90,1:15.95
1,9.52,1:25.02,3,9.54,1:25.34,2,9.56,1:25.28,4,9.70,1:25.65
1,9.85,1:34.863,3,9.86,1:35.201,2,9.80,1:35.073,4,10.18,1:35.826
