TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Christopher JARDEN POSITION,Christopher JARDEN LAP TIME,Christopher JARDEN ELAPSED TIME
1,9.53,9.53,3,9.72,9.72,4,9.88,,5,10.01,10.01,6,10.17,10.17,2,9.68,9.68
2,12.54,22.07,3,12.45,22.17,4,12.42,,5,12.44,22.45,6,12.43,22.60,1,12.24,21.92
2,11.37,33.44,3,11.40,33.57,4,11.38,,5,11.35,33.80,6,11.31,33.91,1,11.39,33.31
2,11.24,44.68,3,11.21,44.78,4,11.22,,5,11.22,45.02,6,11.26,45.17,1,11.24,44.55
2,10.58,55.26,1,10.26,55.04,4,10.56,,5,10.55,55.57,6,10.52,55.69,3,10.78,55.33
2,9.87,1:05.13,1,10.01,1:05.05,3,9.80,,4,9.83,1:05.40,6,9.84,1:05.53,5,10.11,1:05.44
2,9.92,1:15.05,1,9.88,1:14.93,4,9.99,,3,9.76,1:15.16,5,9.86,1:15.39,6,10.08,1:15.52
2,9.54,1:24.59,1,9.58,1:24.51,4,9.47,,3,9.51,1:24.67,5,9.54,1:24.93,6,9.71,1:25.23
2,8.98,1:33.57,1,8.85,1:33.36,3,8.88,,4,8.98,1:33.65,5,8.86,1:33.79,6,9.76,1:34.99
2,8.84,1:42.41,1,8.85,1:42.21,3,8.90,,5,9.18,1:42.83,4,8.95,1:42.74,6,10.07,1:45.06
2,8.98,1:51.39,1,9.05,1:51.26,3,8.98,,5,9.02,1:51.85,4,9.00,1:51.74,6,10.56,1:55.62
2,9.19,2:00.58,1,9.24,2:00.50,3,9.18,,4,9.04,2:00.89,5,9.16,2:00.90,6,10.64,2:06.26
2,9.65,2:10.23,1,9.65,2:10.15,3,9.66,,4,9.49,2:10.38,5,9.79,2:10.69,6,11.10,2:17.36
6,30.55,2:40.78,1,10.05,2:20.20,5,20.89,,2,9.94,2:20.32,3,10.63,2:21.299,4,11.40,2:28.733
