Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Kinga KOVACS POSITION,Kinga KOVACS LAP TIME,Kinga KOVACS ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME
3,14.89,14.89,2,14.74,14.74,1,14.69,14.69,5,15.25,15.25,4,15.22,15.22
3,11.20,26.10,4,11.68,26.43,2,11.38,26.07,5,11.57,26.82,1,10.70,25.92
1,10.13,36.24,4,10.38,36.82,2,10.41,36.49,5,10.46,37.29,3,10.76,36.69
1,10.21,46.46,3,9.97,46.79,2,10.13,46.63,5,10.04,47.34,4,10.14,46.83
4,10.66,57.12,2,10.27,57.06,1,10.28,56.91,5,10.12,57.46,3,10.27,57.11
1,9.96,1:07.08,3,10.23,1:07.30,2,10.38,1:07.29,5,10.33,1:07.80,4,10.26,1:07.37
1,9.88,1:16.97,4,10.22,1:17.52,2,9.92,1:17.21,5,9.78,1:17.59,3,9.97,1:17.35
1,10.07,1:27.04,5,9.93,1:27.46,3,9.99,1:27.20,4,9.70,1:27.29,2,9.83,1:27.18
2,10.17,1:37.207,5,10.78,1:38.232,3,10.44,1:37.631,1,9.64,1:36.930,4,10.76,1:37.934
