HAN Yueshuang POSITION,HAN Yueshuang LAP TIME,HAN Yueshuang ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME
1,14.895,14.895,3,15.308,15.308,2,15.105,15.105,4,15.332,15.332
1,11.810,26.705,3,11.763,27.071,2,11.881,26.986,4,11.899,27.231
1,11.881,38.586,3,11.679,38.750,2,11.675,38.661,4,11.577,38.808
4,10.477,49.063,2,10.091,48.842,3,10.290,48.951,1,9.898,48.706
4,9.858,58.921,1,9.701,58.543,3,9.781,58.732,2,9.916,58.622
4,9.855,1:08.776,2,9.964,1:08.506,3,9.966,1:08.698,1,9.812,1:08.433
4,10.133,1:18.909,2,9.857,1:18.363,3,9.701,1:18.399,1,9.799,1:18.232
4,13.168,1:32.077,2,9.643,1:28.006,3,9.614,1:28.013,1,9.629,1:27.861
3,8.032,1:40.109,2,9.943,1:37.949,4,12.156,1:40.169,1,9.921,1:37.782
