Boren ZUNAC POSITION,Boren ZUNAC LAP TIME,Boren ZUNAC ELAPSED TIME,Alvaro PENA POSITION,Alvaro PENA LAP TIME,Alvaro PENA ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
2,7.12,7.12,4,7.42,7.42,1,6.83,6.83,3,7.21,7.21
3,9.70,16.82,4,9.53,16.95,1,8.90,15.73,2,9.28,16.49
3,9.47,26.29,4,9.34,26.29,1,8.51,24.24,2,8.65,25.14
4,9.95,36.24,3,9.70,35.99,1,8.60,32.84,2,8.73,33.87
4,9.86,46.096,3,9.90,45.882,1,8.78,41.613,2,8.87,42.738
