Robert LAWRENCE POSITION,Robert LAWRENCE LAP TIME,Robert LAWRENCE ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
4,10.06,10.06,2,9.88,9.88,5,10.19,10.19,1,9.76,9.76,3,10.00,10.00,6,10.32,10.32
6,14.06,24.12,3,13.90,23.78,1,13.31,23.50,4,14.11,23.87,5,14.00,24.00,2,13.28,23.60
6,12.71,36.83,3,12.62,36.40,1,12.63,36.13,4,12.67,36.54,5,12.68,36.68,2,12.66,36.26
6,12.45,49.28,3,12.50,48.90,1,12.50,48.63,4,12.48,49.02,5,12.45,49.13,2,12.46,48.72
6,12.43,1:01.71,3,12.39,1:01.29,1,12.48,1:01.11,4,12.41,1:01.43,5,12.44,1:01.57,2,12.47,1:01.19
3,10.93,1:12.64,4,11.46,1:12.75,2,11.50,1:12.61,5,11.47,1:12.90,6,11.44,1:13.01,1,11.42,1:12.61
2,10.08,1:22.72,4,10.13,1:22.88,3,10.19,1:22.80,5,10.07,1:22.97,6,10.07,1:23.08,1,10.02,1:22.63
3,10.15,1:32.87,5,10.16,1:33.04,4,10.17,1:32.97,2,9.85,1:32.82,6,10.11,1:33.19,1,10.13,1:32.76
3,9.85,1:42.72,4,9.77,1:42.81,5,9.85,1:42.82,2,9.81,1:42.63,6,9.82,1:43.01,1,9.78,1:42.54
3,9.71,1:52.43,4,9.71,1:52.52,5,9.81,1:52.63,2,9.72,1:52.35,6,9.80,1:52.81,1,9.72,1:52.26
3,9.37,2:01.80,4,9.36,2:01.88,5,9.40,2:02.03,2,9.38,2:01.73,6,9.91,2:02.72,1,9.42,2:01.68
1,9.06,2:10.86,4,9.26,2:11.14,5,9.21,2:11.24,3,9.32,2:11.05,6,10.99,2:13.71,2,9.20,2:10.88
1,9.17,2:20.03,4,9.17,2:20.31,5,9.22,2:20.46,3,9.15,2:20.20,6,11.58,2:25.29,2,9.26,2:20.14
1,9.49,2:29.517,4,9.33,2:29.637,5,9.50,2:29.960,3,9.39,2:29.587,6,12.11,2:37.396,2,9.39,2:29.529
