Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
1,6.76,6.76,3,7.10,7.10,4,7.22,7.22,2,6.91,6.91
1,8.86,15.62,3,8.88,15.98,4,9.02,16.24,2,8.77,15.68
2,8.43,24.05,3,8.48,24.46,4,8.51,24.75,1,8.34,24.02
2,8.81,32.86,3,8.66,33.12,4,8.64,33.39,1,8.71,32.73
2,8.78,41.632,3,8.89,42.006,4,8.88,42.266,1,8.82,41.542
