Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME
4,7.94,7.94,2,7.81,7.81,3,7.89,7.89,1,7.65,7.65,5,8.36,8.36
3,10.65,18.59,1,10.45,18.26,5,11.18,19.08,2,10.66,18.32,4,10.51,18.88
2,10.87,29.47,4,11.28,29.55,3,10.42,29.50,1,11.05,29.38,5,10.83,29.71
3,11.19,40.66,4,11.14,40.69,1,11.07,40.57,2,11.24,40.62,5,11.31,41.03
3,10.82,51.49,1,10.03,50.72,4,11.06,51.64,2,10.83,51.46,5,10.78,51.82
4,10.34,1:01.84,1,9.94,1:00.67,3,9.94,1:01.58,2,9.65,1:01.11,5,10.36,1:02.18
4,9.38,1:11.22,1,9.59,1:10.26,3,9.53,1:11.12,2,9.22,1:10.33,5,9.97,1:12.15
4,9.42,1:20.65,1,9.79,1:20.05,3,9.44,1:20.56,2,9.74,1:20.08,5,10.14,1:22.29
3,9.42,1:30.07,1,9.71,1:29.77,4,9.54,1:30.11,2,9.74,1:29.82,5,10.59,1:32.89
3,9.71,1:39.79,2,9.79,1:39.56,4,9.88,1:39.99,1,9.72,1:39.54,5,10.88,1:43.77
4,9.90,1:49.69,1,9.67,1:49.23,3,9.65,1:49.64,2,9.90,1:49.45,5,11.31,1:55.08
1,9.19,1:58.88,2,9.78,1:59.02,4,9.76,1:59.41,3,9.58,1:59.03,5,11.81,2:06.89
1,9.67,2:08.56,3,9.95,2:08.97,2,9.23,2:08.65,4,10.00,2:09.04,5,12.45,2:19.35
1,9.56,2:18.112,3,10.64,2:19.605,2,9.51,2:18.159,4,11.04,2:20.071,5,12.85,2:32.198
