Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME
3,8.40,8.40,2,8.33,8.33,4,8.64,8.64,1,8.22,8.22,5,8.84,8.84
3,12.28,20.68,2,12.27,20.61,4,12.21,20.85,1,12.17,20.40,5,12.16,21.01
3,12.11,32.80,2,11.93,32.55,5,12.16,33.02,1,12.08,32.48,4,11.80,32.81
4,10.48,43.28,2,10.55,43.10,5,10.58,43.60,3,10.63,43.12,1,9.83,42.65
4,9.82,53.11,3,9.95,53.05,5,9.73,53.34,2,9.81,52.93,1,10.26,52.91
4,10.53,1:03.64,2,10.50,1:03.56,5,10.56,1:03.90,3,10.62,1:03.56,1,10.52,1:03.44
3,9.61,1:13.26,5,9.82,1:13.38,1,9.22,1:13.13,2,9.66,1:13.23,4,9.87,1:13.31
4,9.84,1:23.10,3,9.64,1:23.02,2,9.68,1:22.81,1,9.53,1:22.76,5,9.97,1:23.29
4,9.41,1:32.51,3,9.38,1:32.41,2,9.53,1:32.35,1,9.49,1:32.25,5,10.09,1:33.39
3,9.26,1:41.77,4,9.40,1:41.81,2,9.35,1:41.71,1,9.41,1:41.67,5,10.08,1:43.47
4,9.44,1:51.21,3,9.37,1:51.18,2,9.33,1:51.04,1,9.32,1:50.99,5,10.50,1:53.97
4,9.31,2:00.53,1,9.11,2:00.30,2,9.38,2:00.43,3,9.43,2:00.43,5,10.99,2:04.97
4,9.62,2:10.15,1,9.29,2:09.59,2,9.53,2:09.97,3,9.57,2:10.01,5,10.80,2:15.77
4,10.08,2:20.225,1,9.68,2:19.262,2,9.61,2:19.571,3,10.10,2:20.102,5,11.17,2:26.937
