Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
2,12.66,12.66,3,13.04,13.04,1,12.40,12.40
2,9.28,21.94,3,9.29,22.33,1,9.40,21.80
2,9.43,31.37,3,9.33,31.66,1,9.46,31.26
2,9.34,40.71,3,9.15,40.81,1,9.35,40.61
2,9.73,50.44,3,9.74,50.55,1,9.66,50.27
3,10.69,1:01.13,2,10.08,1:00.63,1,9.96,1:00.23
3,10.62,1:11.75,1,9.77,1:10.40,2,10.19,1:10.42
3,10.98,1:22.73,1,9.77,1:20.17,2,10.44,1:20.86
3,11.25,1:33.975,1,10.62,1:30.787,2,10.88,1:31.736
