Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
2,8.41,8.41,3,8.76,8.76,1,8.10,8.10,4,8.90,8.90,6,9.11,9.11,5,9.04,9.04
2,11.33,19.74,3,11.13,19.89,1,11.52,19.62,4,11.11,20.01,6,11.16,20.27,5,11.13,20.17
2,11.05,30.79,3,11.03,30.92,1,11.04,30.66,4,11.03,31.04,6,11.03,31.30,5,11.02,31.19
2,10.77,41.56,3,10.75,41.67,1,10.82,41.48,4,10.76,41.80,6,10.76,42.06,5,10.75,41.94
2,10.83,52.39,3,10.85,52.52,1,10.83,52.31,5,10.85,52.65,6,10.59,52.65,4,10.66,52.60
2,9.96,1:02.35,4,10.08,1:02.60,3,10.18,1:02.49,6,10.21,1:02.86,5,10.05,1:02.70,1,9.63,1:02.23
4,9.89,1:12.24,1,9.44,1:12.04,3,9.74,1:12.23,6,9.61,1:12.47,5,9.60,1:12.30,2,9.86,1:12.09
5,9.69,1:21.93,1,9.39,1:21.43,4,9.57,1:21.80,6,9.61,1:22.08,2,9.24,1:21.54,3,9.56,1:21.65
5,9.37,1:31.30,1,9.46,1:30.89,4,9.40,1:31.20,6,9.36,1:31.44,2,9.44,1:30.98,3,9.46,1:31.11
5,9.46,1:40.76,1,9.44,1:40.33,4,9.44,1:40.64,6,9.39,1:40.83,2,9.44,1:40.42,3,9.42,1:40.53
5,9.46,1:50.22,1,9.36,1:49.69,4,9.50,1:50.14,6,9.50,1:50.33,2,9.34,1:49.76,3,9.35,1:49.88
4,9.65,1:59.87,1,9.30,1:58.99,6,10.18,2:00.32,5,9.65,1:59.98,2,9.32,1:59.08,3,9.35,1:59.23
4,9.70,2:09.57,1,9.35,2:08.34,6,10.71,2:11.03,5,9.73,2:09.71,2,9.34,2:08.42,3,9.39,2:08.62
4,9.85,2:19.419,1,9.51,2:17.845,6,11.34,2:22.366,5,9.80,2:19.504,2,9.59,2:18.007,3,9.54,2:18.158
