WANG Chunlu POSITION,WANG Chunlu LAP TIME,WANG Chunlu ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME
2,7.201,7.201,3,7.685,7.685,1,6.972,6.972
1,9.574,16.775,2,9.106,16.791,3,9.826,16.798
2,9.328,26.102,1,9.253,26.043,3,23.258,40.055
2,9.548,35.649,1,9.522,35.565,3,21.390,1:01.445
1,10.31,45.950,2,12.12,47.683,3,14.69,1:16.129
