Lovro ZGOZNIK POSITION,Lovro ZGOZNIK LAP TIME,Lovro ZGOZNIK ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,Ashwin Calen DSILVA POSITION,Ashwin Calen DSILVA LAP TIME,Ashwin Calen DSILVA ELAPSED TIME,WANG Pengyu POSITION,WANG Pengyu LAP TIME,WANG Pengyu ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Mark CHONG POSITION,Mark CHONG LAP TIME,Mark CHONG ELAPSED TIME
4,10.00,10.00,3,9.91,9.91,2,9.74,9.74,1,9.62,9.62,5,10.24,10.24,6,10.41,10.41,7,10.58,10.58
5,12.83,22.83,3,12.84,22.75,2,12.92,22.66,1,12.88,22.50,6,12.69,22.93,4,12.40,22.81,7,12.41,22.99
6,11.89,34.72,4,11.62,34.37,3,11.58,34.24,5,12.03,34.53,7,11.98,34.91,1,11.21,34.02,2,11.14,34.13
7,11.19,45.91,2,10.81,45.18,4,10.95,45.19,5,11.05,45.58,6,10.95,45.86,1,11.03,45.05,2,11.05,45.18
7,10.53,56.44,1,9.67,54.85,4,10.03,55.22,6,10.36,55.94,5,9.96,55.82,2,9.98,55.03,3,9.86,55.04
6,10.61,1:07.05,1,9.97,1:04.82,7,27.81,1:23.03,5,10.66,1:06.60,4,9.53,1:05.35,3,9.97,1:05.00,2,9.87,1:04.91
6,10.83,1:17.88,4,10.67,1:15.49,7,16.16,1:39.19,5,11.11,1:17.71,2,10.13,1:15.48,2,10.48,1:15.48,1,10.47,1:15.38
6,11.02,1:28.90,4,10.07,1:25.56,7,13.73,1:52.92,5,11.16,1:28.87,1,9.54,1:25.02,3,9.79,1:25.27,2,9.74,1:25.12
5,11.26,1:40.16,4,9.89,1:35.45,7,12.66,2:05.58,6,11.45,1:40.32,1,10.09,1:35.11,3,10.02,1:35.29,1,9.99,1:35.11
5,11.63,1:51.79,4,9.84,1:45.29,7,11.05,2:16.63,6,11.61,1:51.93,2,9.77,1:44.88,3,9.72,1:45.01,1,9.56,1:44.67
6,11.95,2:03.74,4,9.69,1:54.98,7,11.01,2:27.64,5,11.54,2:03.47,2,9.35,1:54.23,3,9.32,1:54.33,1,9.47,1:54.14
6,12.01,2:15.75,4,9.80,2:04.78,7,11.41,2:39.05,5,11.30,2:14.77,1,9.42,2:03.65,3,9.54,2:03.87,2,9.58,2:03.72
6,12.43,2:28.18,4,10.19,2:14.97,7,11.41,2:50.46,5,11.46,2:26.23,1,9.50,2:13.15,3,9.62,2:13.49,2,9.70,2:13.42
6,12.73,2:40.878,4,11.04,2:25.983,7,11.41,3:01.841,5,11.43,2:37.66,1,9.48,2:22.615,3,9.46,2:22.927,2,9.45,2:22.858
