Satomi SAKAI POSITION,Satomi SAKAI LAP TIME,Satomi SAKAI ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Tatiana ZIMOVA POSITION,Tatiana ZIMOVA LAP TIME,Tatiana ZIMOVA ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Margriet de SCHUTTER POSITION,Margriet de SCHUTTER LAP TIME,Margriet de SCHUTTER ELAPSED TIME
1,9.068,9.068,4,9.490,9.490,5,9.683,9.683,2,9.182,9.182,3,9.279,9.279
1,12.910,21.978,4,12.966,22.455,5,12.858,22.541,2,12.977,22.159,3,12.953,22.232
2,11.925,33.903,4,11.845,34.299,5,11.857,34.397,1,11.669,33.828,3,11.831,34.062
1,11.752,45.654,4,11.775,46.074,5,11.801,46.198,2,11.833,45.660,3,11.950,46.012
1,11.616,57.270,4,11.681,57.754,5,11.627,57.825,2,11.668,57.328,3,11.614,57.625
2,11.673,1:08.942,4,11.567,1:09.321,5,11.659,1:09.484,1,11.588,1:08.916,3,11.536,1:09.160
2,11.515,1:20.456,4,11.336,1:20.657,5,11.274,1:20.757,1,11.463,1:20.379,3,11.422,1:20.582
3,10.649,1:31.104,1,10.342,1:30.998,4,10.949,1:31.706,2,10.693,1:31.071,5,11.282,1:31.863
2,10.401,1:41.505,3,10.539,1:41.536,4,10.620,1:42.325,1,10.428,1:41.499,5,10.533,1:42.396
2,10.569,1:52.073,1,10.514,1:52.050,4,10.770,1:53.095,3,10.587,1:52.086,5,10.874,1:53.270
1,10.543,2:02.616,3,10.625,2:02.675,4,11.136,2:04.231,2,10.571,2:02.656,5,11.074,2:04.344
2,10.659,2:13.274,1,10.594,2:13.268,4,11.573,2:15.804,3,10.904,2:13.560,5,11.542,2:15.885
2,11.081,2:24.355,1,10.971,2:24.239,4,11.877,2:27.680,3,11.120,2:24.679,5,11.948,2:27.833
2,11.23,2:35.576,1,11.23,2:35.461,4,11.97,2:39.643,3,10.95,2:35.621,5,11.91,2:39.737
