Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
3,7.04,7.04,4,7.15,7.15,1,6.81,6.81,2,6.96,6.96
2,8.95,15.99,4,9.07,16.22,1,9.03,15.84,3,9.08,16.04
2,8.33,24.32,4,8.21,24.43,3,8.57,24.41,1,8.26,24.30
1,8.46,32.78,3,8.50,32.93,2,8.50,32.91,4,8.76,33.06
1,8.76,41.538,2,8.77,41.691,4,8.95,41.851,3,8.79,41.847
