Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
3,6.79,6.79,1,6.68,6.68,4,6.85,6.85,2,6.79,6.79
1,8.97,15.76,4,9.89,16.57,2,8.97,15.82,3,9.49,16.28
1,8.55,24.32,4,8.96,25.54,2,8.57,24.40,3,8.39,24.67
1,8.94,33.27,4,9.42,34.97,2,8.88,33.28,3,8.73,33.41
1,9.11,42.375,4,9.85,44.815,3,9.68,42.960,2,9.03,42.440
