Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
1,6.91,6.91,2,6.99,6.99,3,7.03,7.03,4,7.42,7.42
1,9.08,15.99,2,9.04,16.03,3,9.00,16.04,4,8.84,16.26
1,8.49,24.49,2,8.48,24.52,3,8.52,24.56,4,8.50,24.77
2,8.54,33.04,1,8.48,33.00,3,8.59,33.16,4,9.52,34.29
1,8.70,41.734,2,8.85,41.842,3,8.95,42.106,4,9.33,43.619
