SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,CHANG Hui POSITION,CHANG Hui LAP TIME,CHANG Hui ELAPSED TIME
3,14.50,14.50,1,14.31,14.31,2,14.42,14.42,4,14.51,,5,14.71,14.71
1,9.85,24.35,2,10.10,24.41,4,10.14,24.56,3,9.96,,5,10.11,24.82
1,9.82,34.17,2,9.86,34.27,4,9.94,34.50,3,9.92,,5,9.85,34.67
1,9.81,43.98,2,9.80,44.07,4,9.76,44.26,3,9.78,,5,9.76,44.43
1,9.82,53.80,2,9.81,53.88,4,9.72,53.98,3,9.80,,5,9.80,54.23
2,9.70,1:03.50,1,9.59,1:03.47,3,9.63,1:03.61,4,9.72,,5,9.82,1:04.05
2,9.56,1:13.06,1,9.18,1:12.65,5,31.34,1:34.95,3,9.48,,4,9.79,1:13.84
2,9.65,1:22.71,1,9.48,1:22.13,5,16.40,1:51.35,3,9.62,,4,10.09,1:23.93
2,11.20,1:33.91,1,9.81,1:31.94,5,11.14,2:02.49,4,27.79,,3,10.47,1:34.40
