AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,Hazim SHAHRUM POSITION,Hazim SHAHRUM LAP TIME,Hazim SHAHRUM ELAPSED TIME,Skyler KAH POSITION,Skyler KAH LAP TIME,Skyler KAH ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME
1,13.39,13.39,2,13.56,13.56,3,13.57,13.57,4,13.78,13.78,5,13.88,13.88
2,10.32,23.71,3,10.37,23.93,1,9.96,23.53,5,10.40,24.18,4,10.29,24.17
2,9.82,33.53,3,9.71,33.64,1,9.91,33.44,5,9.66,33.84,4,9.55,33.72
1,9.73,43.26,3,9.80,43.44,2,9.93,43.37,5,9.85,43.69,4,9.82,43.54
1,9.38,52.64,2,9.34,52.78,5,9.86,53.23,4,9.45,53.14,3,9.33,52.87
1,9.16,1:01.80,2,9.11,1:01.89,5,9.97,1:03.20,4,9.30,1:02.44,3,9.15,1:02.02
1,8.91,1:10.71,2,8.94,1:10.83,5,10.18,1:13.38,4,9.08,1:11.52,3,8.98,1:11.00
1,8.76,1:19.47,2,8.77,1:19.60,5,10.54,1:23.92,4,9.09,1:20.61,3,9.28,1:20.28
1,8.99,1:28.46,2,8.98,1:28.58,5,10.95,1:34.87,3,9.37,1:29.98,4,10.41,1:30.69
