Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Sergei KASTOV POSITION,Sergei KASTOV LAP TIME,Sergei KASTOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,6.930,6.930,2,6.960,6.960,4,7.420,7.420,3,7.320,7.320
1,9.180,16.110,2,9.450,16.420,4,9.710,17.130,3,9.260,16.590
1,8.620,24.740,4,32.940,49.370,3,9.600,26.730,2,8.830,25.420
3,15.310,40.060,4,21.840,1:11.210,2,9.810,36.550,1,9.180,34.610
3,16.660,56.720,4,15.180,1:26.400,2,10.010,46.570,1,9.490,44.110
