Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Yu MIURA POSITION,Yu MIURA LAP TIME,Yu MIURA ELAPSED TIME
2,7.29,7.29,1,6.82,6.82,4,14.50,14.50,3,7.42,7.42
2,9.65,16.94,1,9.22,16.04,4,14.85,29.35,3,9.61,17.03
3,9.00,25.94,1,8.91,24.95,4,11.66,41.01,2,8.86,25.89
3,9.04,34.98,1,9.04,33.99,4,11.38,52.39,2,8.92,34.81
3,9.16,44.140,1,9.20,43.183,4,11.14,1:03.525,2,9.08,43.886
