Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME
1,8.44,8.44,3,8.68,8.68,7,9.26,9.26,6,9.02,9.02,2,8.58,8.58,4,8.81,8.81,5,8.93,8.93
1,12.19,20.63,3,12.21,20.89,7,12.23,21.49,6,12.31,21.33,2,12.20,20.78,4,12.22,21.03,5,12.33,21.26
1,11.71,32.34,3,11.68,32.57,7,11.54,33.03,6,11.63,32.96,2,11.67,32.45,4,11.65,32.68,5,11.55,32.81
1,11.38,43.72,2,11.28,43.85,7,11.44,44.47,6,11.37,44.33,3,11.41,43.86,4,11.33,44.01,5,11.35,44.16
1,10.57,54.29,2,10.55,54.40,7,10.39,54.86,6,10.39,54.72,3,10.65,54.51,5,10.53,54.54,4,10.37,54.53
1,10.05,1:04.34,3,10.13,1:04.53,7,10.14,1:05.00,6,10.19,1:04.91,4,10.11,1:04.62,2,9.87,1:04.41,5,10.22,1:04.75
1,9.84,1:14.18,3,9.88,1:14.41,7,9.79,1:14.79,6,9.80,1:14.71,4,9.88,1:14.50,2,9.88,1:14.29,5,9.86,1:14.61
1,10.06,1:24.24,3,10.09,1:24.50,7,10.08,1:24.87,6,10.03,1:24.74,4,10.07,1:24.57,2,10.09,1:24.38,5,10.05,1:24.66
1,9.72,1:33.96,3,9.66,1:34.16,7,9.76,1:34.63,6,9.77,1:34.51,4,9.68,1:34.25,2,9.70,1:34.08,5,9.72,1:34.38
1,9.38,1:43.34,3,9.36,1:43.52,7,9.30,1:43.93,6,9.31,1:43.82,4,9.34,1:43.59,2,9.36,1:43.44,5,9.30,1:43.68
1,9.38,1:52.72,4,9.41,1:52.93,6,9.21,1:53.14,7,9.44,1:53.26,3,9.31,1:52.90,2,9.42,1:52.86,5,9.36,1:53.04
1,9.38,2:02.10,5,9.63,2:02.56,6,9.47,2:02.61,7,9.47,2:02.73,2,9.33,2:02.23,3,9.39,2:02.25,4,9.34,2:02.38
2,9.43,2:11.53,5,9.44,2:12.00,4,9.12,2:11.73,6,9.29,2:12.02,1,9.14,2:11.37,7,9.81,2:12.06,3,9.22,2:11.60
5,9.82,2:21.341,6,9.44,2:21.439,2,9.18,2:20.901,4,9.25,2:21.267,1,9.33,2:20.700,7,10.08,2:22.135,3,9.37,2:20.961
